,PassengerId,Survived,Pclass,Sex,SibSp,Parch,Cabin,Embarked,FareBins,Title,AgeCategories
52,53,1,1,1,1,0,3,1,2,3,4
53,54,1,2,1,1,0,0,0,1,3,4
54,55,0,1,0,0,1,2,1,2,1,4
55,56,1,1,0,0,0,1,0,1,1,4
56,57,1,2,1,0,0,0,0,1,2,3
57,58,0,3,0,0,0,0,1,1,1,4
58,59,1,2,1,1,2,0,0,1,2,1
59,60,0,3,0,5,2,0,0,1,4,2
60,61,0,3,0,0,0,0,1,1,1,3
61,62,1,1,1,0,0,2,0,2,2,4
62,63,0,1,0,1,0,1,0,2,1,4
63,64,0,3,0,3,2,0,0,1,4,1
64,65,0,1,0,0,0,0,1,1,1,4
65,66,1,3,0,1,1,0,1,1,4,1
66,67,1,2,1,0,0,6,0,1,3,4
67,68,0,3,0,0,0,0,0,1,1,3
68,69,1,3,1,4,2,0,0,1,2,3
69,70,0,3,0,2,0,0,0,1,1,4
70,71,0,2,0,0,0,0,0,1,1,4
71,72,0,3,1,5,2,0,0,1,2,3
72,73,0,2,0,0,0,0,0,2,1,3
73,74,0,3,0,1,0,0,1,1,1,4
74,75,1,3,0,0,0,0,0,2,1,4
75,76,0,3,0,0,0,6,0,1,1,4
76,77,0,3,0,0,0,0,0,1,1,4
77,78,0,3,0,0,0,0,0,1,1,4
78,79,1,2,0,0,2,0,0,1,4,1
79,80,1,3,1,0,0,0,0,1,2,4
80,81,0,3,0,0,0,0,0,1,1,3
81,82,1,3,0,0,0,0,0,1,1,4
82,83,1,3,1,0,0,0,2,1,2,3
83,84,0,1,0,0,0,0,0,1,1,4
84,85,1,2,1,0,0,0,0,1,2,3
85,86,1,3,1,3,0,0,0,1,3,4
86,87,0,3,0,1,3,0,0,1,1,3
87,88,0,3,0,0,0,0,0,1,1,4
88,89,1,1,1,3,2,1,0,6,2,3
89,90,0,3,0,0,0,0,0,1,1,3
90,91,0,3,0,0,0,0,0,1,1,4
91,92,0,3,0,0,0,0,0,1,1,3
92,93,0,1,0,1,0,4,0,2,1,4
93,94,0,3,0,1,2,0,0,1,1,4
94,95,0,3,0,0,0,0,0,1,1,4
95,96,0,3,0,0,0,0,0,1,1,4
96,97,0,1,0,0,0,5,1,1,1,5
97,98,1,1,0,0,1,3,1,2,1,3
98,99,1,2,1,0,1,0,0,1,3,4
99,100,0,2,0,1,0,0,0,1,1,4
100,101,0,3,1,0,0,0,0,1,2,4
101,102,0,3,0,0,0,0,0,1,1,4
102,103,0,1,0,0,1,3,0,2,1,3
103,104,0,3,0,0,0,0,0,1,1,4
104,105,0,3,0,2,0,0,0,1,1,4
105,106,0,3,0,0,0,0,0,1,1,4
106,107,1,3,1,0,0,0,0,1,2,3
107,108,1,3,0,0,0,0,0,1,1,4
108,109,0,3,0,0,0,0,0,1,1,4
109,110,1,3,1,1,0,0,2,1,2,3
110,111,0,1,0,0,0,1,0,2,1,4
111,112,0,3,1,1,0,0,1,1,2,2
112,113,0,3,0,0,0,0,0,1,1,3
113,114,0,3,1,1,0,0,0,1,2,3
114,115,0,3,1,0,0,0,1,1,2,3
115,116,0,3,0,0,0,0,0,1,1,3
116,117,0,3,0,0,0,0,2,1,1,5
117,118,0,2,0,1,0,0,0,1,1,4
118,119,0,1,0,0,1,2,1,5,1,3
119,120,0,3,1,4,2,0,0,1,2,1
120,121,0,2,0,2,0,0,0,2,1,3
121,122,0,3,0,0,0,0,0,1,1,4
122,123,0,2,0,1,0,0,1,1,1,4
123,124,1,2,1,0,0,4,0,1,2,4
124,125,0,1,0,0,1,3,0,2,1,4
125,126,1,3,0,1,0,0,1,1,4,2
126,127,0,3,0,0,0,0,2,1,1,4
127,128,1,3,0,0,0,0,0,1,1,3
128,129,1,3,1,1,1,6,1,1,2,3
129,130,0,3,0,0,0,0,0,1,1,4
130,131,0,3,0,0,0,0,1,1,1,4
131,132,0,3,0,0,0,0,0,1,1,3
132,133,0,3,1,1,0,0,0,1,3,4
133,134,1,2,1,1,0,0,0,1,3,4
134,135,0,2,0,0,0,0,0,1,1,4
135,136,0,2,0,0,0,0,1,1,1,3
136,137,1,1,1,0,2,3,0,1,2,3
137,138,0,1,0,1,0,1,0,2,1,4
138,139,0,3,0,0,0,0,0,1,1,3
139,140,0,1,0,0,0,2,1,2,1,3
140,141,0,3,1,0,2,0,1,1,3,4
141,142,1,3,1,0,0,0,0,1,2,3
142,143,1,3,1,1,0,0,0,1,3,3
143,144,0,3,0,0,0,0,2,1,1,3
144,145,0,2,0,0,0,0,0,1,1,3
145,146,0,2,0,1,1,0,0,1,1,3
146,147,1,3,0,0,0,0,0,1,1,4
147,148,0,3,1,2,2,0,0,1,2,2
148,149,0,2,0,0,2,6,0,1,1,4
149,150,0,2,0,0,0,0,0,1,5,4
150,151,0,2,0,0,0,0,0,1,5,4
151,152,1,1,1,1,0,1,0,2,3,3
152,153,0,3,0,0,0,0,0,1,1,4
153,154,0,3,0,0,2,0,0,1,1,4
154,155,0,3,0,0,0,0,0,1,1,4
155,156,0,1,0,0,1,0,1,2,1,4
156,157,1,3,1,0,0,0,2,1,2,3
157,158,0,3,0,0,0,0,0,1,1,4
158,159,0,3,0,0,0,0,0,1,1,4
159,160,0,3,0,8,2,0,0,2,4,1
160,161,0,3,0,0,1,0,0,1,1,4
161,162,1,2,1,0,0,0,0,1,3,4
162,163,0,3,0,0,0,0,0,1,1,4
163,164,0,3,0,0,0,0,0,1,1,3
164,165,0,3,0,4,1,0,0,1,4,1
165,166,1,3,0,0,2,0,0,1,4,2
166,167,1,1,1,0,1,4,0,2,3,4
167,168,0,3,1,1,4,0,0,1,3,4
168,169,0,1,0,0,0,0,0,1,1,4
169,170,0,3,0,0,0,0,0,2,1,4
170,171,0,1,0,0,0,2,0,1,1,4
171,172,0,3,0,4,1,0,2,1,4,1
172,173,1,3,1,1,1,0,0,1,2,1
173,174,0,3,0,0,0,0,0,1,1,3
174,175,0,1,0,0,0,5,1,1,1,4
175,176,0,3,0,1,1,0,0,1,1,3
176,177,0,3,0,3,1,0,0,1,4,1
177,178,0,1,1,0,0,1,1,1,2,4
178,179,0,2,0,0,0,0,0,1,1,4
179,180,0,3,0,0,0,0,0,1,1,4
180,181,0,3,1,8,2,0,0,2,2,3
181,182,0,2,0,0,0,0,1,1,1,4
182,183,0,3,0,4,2,0,0,1,4,2
183,184,1,2,0,2,1,6,0,1,4,1
184,185,1,3,1,0,2,0,0,1,2,1
185,186,0,1,0,0,0,5,0,1,1,4
186,187,1,3,1,1,0,0,2,1,3,4
187,188,1,1,0,0,0,0,0,1,1,4
188,189,0,3,0,1,1,0,2,1,1,4
189,190,0,3,0,0,0,0,0,1,1,4
190,191,1,2,1,0,0,0,0,1,3,4
191,192,0,2,0,0,0,0,0,1,1,3
192,193,1,3,1,1,0,0,0,1,2,3
193,194,1,2,0,1,1,6,0,1,4,1
194,195,1,1,1,0,0,2,1,1,3,4
195,196,1,1,1,0,0,2,1,3,2,4
196,197,0,3,0,0,0,0,2,1,1,4
197,198,0,3,0,0,1,0,0,1,1,4
198,199,1,3,1,0,0,0,2,1,2,3
199,200,0,2,1,0,0,0,0,1,2,3
200,201,0,3,0,0,0,0,0,1,1,4
201,202,0,3,0,8,2,0,0,2,1,4
202,203,0,3,0,0,0,0,0,1,1,4
203,204,0,3,0,0,0,0,1,1,1,4
204,205,1,3,0,0,0,0,0,1,1,3
205,206,0,3,1,0,1,7,0,1,2,1
206,207,0,3,0,1,0,0,0,1,1,4
207,208,1,3,0,0,0,0,1,1,1,4
208,209,1,3,1,0,0,0,2,1,2,3
209,210,1,1,0,0,0,5,1,1,1,4
210,211,0,3,0,0,0,0,0,1,1,3
211,212,1,2,1,0,0,0,0,1,2,4
212,213,0,3,0,0,0,0,0,1,1,3
213,214,0,2,0,0,0,0,0,1,1,4
214,215,0,3,0,1,0,0,2,1,1,4
215,216,1,1,1,1,0,3,1,3,2,4
216,217,1,3,1,0,0,0,0,1,2,4
217,218,0,2,0,1,0,0,0,1,1,4
218,219,1,1,1,0,0,3,1,2,2,4
219,220,0,2,0,0,0,0,0,1,1,4
220,221,1,3,0,0,0,0,0,1,1,3
221,222,0,2,0,0,0,0,0,1,1,4
222,223,0,3,0,0,0,0,0,1,1,4
223,224,0,3,0,0,0,0,0,1,1,4
224,225,1,1,0,1,0,1,0,2,1,4
225,226,0,3,0,0,0,0,0,1,1,3
226,227,1,2,0,0,0,0,0,1,1,3
227,228,0,3,0,0,0,0,0,1,1,3
228,229,0,2,0,0,0,0,0,1,1,3
229,230,0,3,1,3,1,0,0,1,2,3
230,231,1,1,1,1,0,1,0,2,3,4
231,232,0,3,0,0,0,0,0,1,1,4
232,233,0,2,0,0,0,0,0,1,1,4
233,234,1,3,1,4,2,0,0,1,2,1
234,235,0,2,0,0,0,0,0,1,1,3
235,236,0,3,1,0,0,0,0,1,2,3
236,237,0,2,0,1,0,0,0,1,1,4
237,238,1,2,1,0,2,0,0,1,2,2
238,239,0,2,0,0,0,0,0,1,1,3
239,240,0,2,0,0,0,0,0,1,1,4
240,241,0,3,1,1,0,0,1,1,2,3
241,242,1,3,1,1,0,0,2,1,2,3
242,243,0,2,0,0,0,0,0,1,1,4
243,244,0,3,0,0,0,0,0,1,1,3
244,245,0,3,0,0,0,0,1,1,1,4
245,246,0,1,0,2,0,1,2,2,5,4
246,247,0,3,1,0,0,0,0,1,2,4
247,248,1,2,1,0,2,0,0,1,3,3
248,249,1,1,0,1,1,3,0,2,1,4
249,250,0,2,0,1,0,0,0,1,5,4
250,251,0,3,0,0,0,0,0,1,1,4
251,252,0,3,1,1,1,7,0,1,3,4
252,253,0,1,0,0,0,1,0,1,1,4
253,254,0,3,0,1,0,0,0,1,1,4
254,255,0,3,1,0,2,0,0,1,3,4
255,256,1,3,1,0,2,0,1,1,3,4
256,257,1,1,1,0,0,0,1,2,3,4
257,258,1,1,1,0,0,2,0,2,2,4
258,259,1,1,1,0,0,0,1,10,2,4
259,260,1,2,1,0,1,0,0,1,3,4
260,261,0,3,0,0,0,0,2,1,1,4
261,262,1,3,0,4,2,0,0,1,4,1
262,263,0,1,0,1,1,4,0,2,1,4
263,264,0,1,0,0,0,2,0,1,1,4
264,265,0,3,1,0,0,0,2,1,2,3
265,266,0,2,0,0,0,0,0,1,1,4
266,267,0,3,0,4,1,0,0,1,1,3
267,268,1,3,0,1,0,0,0,1,1,4
268,269,1,1,1,0,1,1,0,3,3,4
269,270,1,1,1,0,0,1,0,3,2,4
270,271,0,1,0,0,0,0,0,1,1,4
271,272,1,3,0,0,0,0,0,1,1,4
272,273,1,2,1,0,1,0,0,1,3,4
273,274,0,1,0,0,1,1,1,1,1,4
274,275,1,3,1,0,0,0,2,1,2,3
275,276,1,1,1,1,0,3,0,2,2,4
276,277,0,3,1,0,0,0,0,1,2,4
277,278,0,2,0,0,0,0,0,1,1,4
278,279,0,3,0,4,1,0,2,1,4,2
279,280,1,3,1,1,1,0,0,1,3,4
280,281,0,3,0,0,0,0,2,1,1,4
281,282,0,3,0,0,0,0,0,1,1,4
282,283,0,3,0,0,0,0,0,1,1,3
283,284,1,3,0,0,0,0,0,1,1,3
284,285,0,1,0,0,0,5,0,1,1,4
285,286,0,3,0,0,0,0,1,1,1,4
286,287,1,3,0,0,0,0,0,1,1,4
287,288,0,3,0,0,0,0,0,1,1,3
288,289,1,2,0,0,0,0,0,1,1,4
289,290,1,3,1,0,0,0,2,1,2,3
290,291,1,1,1,0,0,0,0,2,2,4
291,292,1,1,1,1,0,2,1,2,3,3
292,293,0,2,0,0,0,3,1,1,1,4
293,294,0,3,1,0,0,0,0,1,2,3
294,295,0,3,0,0,0,0,0,1,1,3
295,296,0,1,0,0,0,0,1,1,1,4
296,297,0,3,0,0,0,0,1,1,1,3
297,298,0,1,1,1,2,1,0,3,2,1
298,299,1,1,0,0,0,1,0,1,1,4
299,300,1,1,1,0,1,2,1,5,3,4
300,301,1,3,1,0,0,0,2,1,2,3
301,302,1,3,0,2,0,0,2,1,1,4
302,303,0,3,0,0,0,0,0,1,1,3
303,304,1,2,1,0,0,4,2,1,2,3
304,305,0,3,0,0,0,0,0,1,1,4
305,306,1,1,0,1,2,1,0,3,4,1
306,307,1,1,1,0,0,0,1,3,2,3
307,308,1,1,1,1,0,1,1,3,3,3
308,309,0,2,0,1,0,0,1,1,1,4
309,310,1,1,1,0,0,4,1,2,2,4
310,311,1,1,1,0,0,1,1,2,2,3
311,312,1,1,1,2,2,2,1,6,2,3
312,313,0,2,1,1,1,0,0,1,3,4
313,314,0,3,0,0,0,0,0,1,1,4
314,315,0,2,0,1,1,0,0,1,1,4
315,316,1,3,1,0,0,0,0,1,2,4
316,317,1,2,1,1,0,0,0,1,3,3
317,318,0,2,0,0,0,0,0,1,5,4
318,319,1,1,1,0,2,1,0,4,2,4
319,320,1,1,1,1,1,4,1,3,3,4
320,321,0,3,0,0,0,0,0,1,1,3
321,322,0,3,0,0,0,0,0,1,1,4
322,323,1,2,1,0,0,0,2,1,2,4
323,324,1,2,1,1,1,0,0,1,3,3
324,325,0,3,0,8,2,0,0,2,1,4
325,326,1,1,1,0,0,1,1,3,2,4
326,327,0,3,0,0,0,0,0,1,1,4
327,328,1,2,1,0,0,3,0,1,3,4
328,329,1,3,1,1,1,0,0,1,3,4
329,330,1,1,1,0,1,2,1,2,2,3
330,331,1,3,1,2,0,0,2,1,2,3
331,332,0,1,0,0,0,1,0,1,1,4
332,333,0,1,0,0,1,1,0,3,1,4
333,334,0,3,0,2,0,0,0,1,1,3
334,335,1,1,1,1,0,0,0,3,3,4
335,336,0,3,0,0,0,0,0,1,1,4
336,337,0,1,0,1,0,1,0,2,1,4
337,338,1,1,1,0,0,4,1,3,2,4
338,339,1,3,0,0,0,0,0,1,1,4
339,340,0,1,0,0,0,8,0,1,1,4
340,341,1,2,0,1,1,6,0,1,4,1
341,342,1,1,1,3,2,1,0,6,2,3
342,343,0,2,0,0,0,0,0,1,1,4
343,344,0,2,0,0,0,0,0,1,1,4
344,345,0,2,0,0,0,0,0,1,1,4
345,346,1,2,1,0,0,6,0,1,2,3
346,347,1,2,1,0,0,0,0,1,2,4
347,348,1,3,1,1,0,0,0,1,3,4
348,349,1,3,0,1,1,0,0,1,4,1
349,350,0,3,0,0,0,0,0,1,1,4
350,351,0,3,0,0,0,0,0,1,1,3
351,352,0,1,0,0,0,1,0,1,1,4
352,353,0,3,0,1,1,0,1,1,1,2
353,354,0,3,0,1,0,0,0,1,1,4
354,355,0,3,0,0,0,0,1,1,1,4
355,356,0,3,0,0,0,0,0,1,1,4
356,357,1,1,1,0,1,4,0,2,2,3
357,358,0,2,1,0,0,0,0,1,2,4
358,359,1,3,1,0,0,0,2,1,2,3
359,360,1,3,1,0,0,0,2,1,2,3
360,361,0,3,0,1,4,0,0,1,1,4
361,362,0,2,0,1,0,0,1,1,1,4
362,363,0,3,1,0,1,0,1,1,3,4
363,364,0,3,0,0,0,0,0,1,1,4
364,365,0,3,0,1,0,0,2,1,1,4
365,366,0,3,0,0,0,0,0,1,1,4
366,367,1,1,1,1,0,3,1,2,3,4
367,368,1,3,1,0,0,0,1,1,3,4
368,369,1,3,1,0,0,0,2,1,2,3
369,370,1,1,1,0,0,2,1,2,3,3
370,371,1,1,0,1,0,4,1,2,1,4
371,372,0,3,0,1,0,0,0,1,1,3
372,373,0,3,0,0,0,0,0,1,1,3
373,374,0,1,0,0,0,0,1,3,1,3
374,375,0,3,1,3,1,0,0,1,2,1
375,376,1,1,1,1,0,0,1,2,3,4
376,377,1,3,1,0,0,0,0,1,2,3
377,378,0,1,0,0,2,1,1,5,1,4
378,379,0,3,0,0,0,0,1,1,1,3
379,380,0,3,0,0,0,0,0,1,1,3
380,381,1,1,1,0,0,0,1,5,2,4
381,382,1,3,1,0,2,0,1,1,2,1
382,383,0,3,0,0,0,0,0,1,1,4
383,384,1,1,1,1,0,0,0,2,3,4
384,385,0,3,0,0,0,0,0,1,1,4
385,386,0,2,0,0,0,0,0,2,1,3
386,387,0,3,0,5,2,0,0,1,4,1
387,388,1,2,1,0,0,0,0,1,2,4
388,389,0,3,0,0,0,0,2,1,1,4
389,390,1,2,1,0,0,0,1,1,2,3
390,391,1,1,0,1,2,2,0,3,1,4
391,392,1,3,0,0,0,0,0,1,1,3
392,393,0,3,0,2,0,0,0,1,1,4
393,394,1,1,1,1,0,3,1,3,2,3
394,395,1,3,1,0,2,7,0,1,3,3
395,396,0,3,0,0,0,0,0,1,1,3
396,397,0,3,1,0,0,0,0,1,2,4
397,398,0,2,0,0,0,0,0,1,1,4
398,399,0,2,0,0,0,0,0,1,5,3
399,400,1,2,1,0,0,0,0,1,3,4
400,401,1,3,0,0,0,0,0,1,1,4
401,402,0,3,0,0,0,0,0,1,1,4
402,403,0,3,1,1,0,0,0,1,2,3
403,404,0,3,0,1,0,0,0,1,1,4
404,405,0,3,1,0,0,0,0,1,2,3
405,406,0,2,0,1,0,0,0,1,1,4
406,407,0,3,0,0,0,0,0,1,1,4
407,408,1,2,0,1,1,0,0,1,4,1
408,409,0,3,0,0,0,0,0,1,1,3
409,410,0,3,1,3,1,0,0,1,2,3
410,411,0,3,0,0,0,0,0,1,1,4
411,412,0,3,0,0,0,0,2,1,1,4
412,413,1,1,1,1,0,1,2,2,2,4
413,414,0,2,0,0,0,0,0,1,1,4
414,415,1,3,0,0,0,0,0,1,1,4
415,416,0,3,1,0,0,0,0,1,3,4
416,417,1,2,1,1,1,0,0,1,3,4
417,418,1,2,1,0,2,0,0,1,2,3
418,419,0,2,0,0,0,0,0,1,1,4
419,420,0,3,1,0,2,0,0,1,2,2
420,421,0,3,0,0,0,0,1,1,1,4
421,422,0,3,0,0,0,0,2,1,1,3
422,423,0,3,0,0,0,0,0,1,1,4
423,424,0,3,1,1,1,0,0,1,3,4
424,425,0,3,0,1,1,0,0,1,1,3
425,426,0,3,0,0,0,0,0,1,1,4
426,427,1,2,1,1,0,0,0,1,3,4
427,428,1,2,1,0,0,0,0,1,2,3
428,429,0,3,0,0,0,0,2,1,1,4
429,430,1,3,0,0,0,4,0,1,1,4
430,431,1,1,0,0,0,1,0,1,1,4
431,432,1,3,1,1,0,0,0,1,3,4
432,433,1,2,1,1,0,0,0,1,3,4
433,434,0,3,0,0,0,0,0,1,1,3
434,435,0,1,0,1,0,4,0,2,1,4
435,436,1,1,1,1,2,2,0,3,2,2
436,437,0,3,1,2,2,0,0,1,2,3
437,438,1,2,1,2,3,0,0,1,3,3
438,439,0,1,0,1,4,1,0,6,1,4
439,440,0,2,0,0,0,0,0,1,1,4
440,441,1,2,1,1,1,0,0,1,3,4
441,442,0,3,0,0,0,0,0,1,1,3
442,443,0,3,0,1,0,0,0,1,1,4
443,444,1,2,1,0,0,0,0,1,2,4
444,445,1,3,0,0,0,0,0,1,1,4
445,446,1,1,0,0,2,5,0,2,4,1
446,447,1,2,1,0,1,0,0,1,2,2
447,448,1,1,0,0,0,0,0,1,1,4
448,449,1,3,1,2,1,0,1,1,2,1
449,450,1,1,0,0,0,1,0,1,5,4
450,451,0,2,0,1,2,0,0,1,1,4
451,452,0,3,0,1,0,0,0,1,1,4
452,453,0,1,0,0,0,1,1,1,1,4
453,454,1,1,0,1,0,1,1,2,1,4
454,455,0,3,0,0,0,0,0,1,1,4
455,456,1,3,0,0,0,0,1,1,1,4
456,457,0,1,0,0,0,4,0,1,1,4
457,458,1,1,1,1,0,3,0,2,3,4
458,459,1,2,1,0,0,0,0,1,2,4
459,460,0,3,0,0,0,0,2,1,1,4
460,461,1,1,0,0,0,4,0,1,1,4
461,462,0,3,0,0,0,0,0,1,1,4
462,463,0,1,0,0,0,4,0,1,1,4
463,464,0,2,0,0,0,0,0,1,1,4
464,465,0,3,0,0,0,0,0,1,1,4
465,466,0,3,0,0,0,0,0,1,1,4
466,467,0,2,0,0,0,0,0,1,1,4
467,468,0,1,0,0,0,0,0,1,1,4
468,469,0,3,0,0,0,0,2,1,1,4
469,470,1,3,1,2,1,0,1,1,2,1
470,471,0,3,0,0,0,0,0,1,1,4
471,472,0,3,0,0,0,0,0,1,1,4
472,473,1,2,1,1,2,0,0,1,3,4
473,474,1,2,1,0,0,3,1,1,3,3
474,475,0,3,1,0,0,0,0,1,2,3
475,476,0,1,0,0,0,5,0,2,1,4
476,477,0,2,0,1,0,0,0,1,1,4
477,478,0,3,0,1,0,0,0,1,1,4
478,479,0,3,0,0,0,0,0,1,1,3
479,480,1,3,1,0,1,0,0,1,2,1
480,481,0,3,0,5,2,0,0,1,4,2
481,482,0,2,0,0,0,0,0,1,1,4
482,483,0,3,0,0,0,0,0,1,1,4
483,484,1,3,1,0,0,0,0,1,3,4
484,485,1,1,0,1,0,2,1,2,1,4
485,486,0,3,1,3,1,0,0,1,2,3
486,487,1,1,1,1,0,1,0,2,3,4
487,488,0,1,0,0,0,2,1,1,1,4
488,489,0,3,0,0,0,0,0,1,1,4
489,490,1,3,0,1,1,0,0,1,4,2
490,491,0,3,0,1,0,0,0,1,1,4
491,492,0,3,0,0,0,0,0,1,1,3
492,493,0,1,0,0,0,1,0,1,1,4
493,494,0,1,0,0,0,0,1,1,1,5
494,495,0,3,0,0,0,0,0,1,1,3
495,496,0,3,0,0,0,0,1,1,1,4
496,497,1,1,1,1,0,3,1,2,2,4
497,498,0,3,0,0,0,0,0,1,1,4
498,499,0,1,1,1,2,1,0,3,3,4
499,500,0,3,0,0,0,0,0,1,1,3
500,501,0,3,0,0,0,0,0,1,1,3
501,502,0,3,1,0,0,0,2,1,2,3
502,503,0,3,1,0,0,0,2,1,2,3
503,504,0,3,1,0,0,0,0,1,2,4
504,505,1,1,1,0,0,2,0,2,2,3
505,506,0,1,0,1,0,1,1,3,1,3
506,507,1,2,1,0,2,0,0,1,3,4
507,508,1,1,0,0,0,0,0,1,1,4
508,509,0,3,0,0,0,0,0,1,1,4
509,510,1,3,0,0,0,0,0,2,1,4
510,511,1,3,0,0,0,0,2,1,1,4
511,512,0,3,0,0,0,0,0,1,1,4
512,513,1,1,0,0,0,4,0,1,1,4
513,514,1,1,1,1,0,0,1,2,3,4
514,515,0,3,0,0,0,0,0,1,1,3
515,516,0,1,0,0,0,3,0,1,1,4
516,517,1,2,1,0,0,6,0,1,3,4
517,518,0,3,0,0,0,0,2,1,1,4
518,519,1,2,1,1,0,0,0,1,3,4
519,520,0,3,0,0,0,0,0,1,1,4
520,521,1,1,1,0,0,2,0,2,2,4
521,522,0,3,0,0,0,0,0,1,1,3
522,523,0,3,0,0,0,0,1,1,1,4
523,524,1,1,1,0,1,2,1,2,3,4
524,525,0,3,0,0,0,0,1,1,1,4
525,526,0,3,0,0,0,0,2,1,1,4
526,527,1,2,1,0,0,0,0,1,2,4
527,528,0,1,0,0,0,1,0,5,1,4
528,529,0,3,0,0,0,0,0,1,1,4
529,530,0,2,0,2,1,0,0,1,1,3
530,531,1,2,1,1,1,0,0,1,2,1
531,532,0,3,0,0,0,0,1,1,1,4
532,533,0,3,0,1,1,0,1,1,1,3
533,534,1,3,1,0,2,0,1,1,3,4
534,535,0,3,1,0,0,0,0,1,2,4
535,536,1,2,1,0,2,0,0,1,2,2
536,537,0,1,0,0,0,2,0,1,5,4
537,538,1,1,1,0,0,0,1,3,2,4
538,539,0,3,0,0,0,0,0,1,1,4
539,540,1,1,1,0,2,2,1,1,2,3
540,541,1,1,1,0,2,2,0,2,2,4
541,542,0,3,1,4,2,0,0,1,2,2
542,543,0,3,1,4,2,0,0,1,2,2
543,544,1,2,0,1,0,0,0,1,1,4
544,545,0,1,0,1,0,1,1,3,1,4
545,546,0,1,0,0,0,0,0,1,1,4
546,547,1,2,1,1,0,0,0,1,3,3
547,548,1,2,0,0,0,0,1,1,1,4
548,549,0,3,0,1,1,0,0,1,1,4
549,550,1,2,0,1,1,0,0,1,4,2
550,551,1,1,0,0,2,1,1,3,1,3
551,552,0,2,0,0,0,0,0,1,1,4
552,553,0,3,0,0,0,0,2,1,1,4
553,554,1,3,0,0,0,0,1,1,1,3
554,555,1,3,1,0,0,0,0,1,2,3
555,556,0,1,0,0,0,0,0,1,1,4
556,557,1,1,1,1,0,5,1,1,5,4
557,558,0,1,0,0,0,0,1,5,1,4
558,559,1,1,1,1,1,4,0,2,3,4
559,560,1,3,1,1,0,0,0,1,3,4
560,561,0,3,0,0,0,0,2,1,1,4
561,562,0,3,0,0,0,0,0,1,1,4
562,563,0,2,0,0,0,0,0,1,1,4
563,564,0,3,0,0,0,0,0,1,1,4
564,565,0,3,1,0,0,0,0,1,2,3
565,566,0,3,0,2,0,0,0,1,1,3
566,567,0,3,0,0,0,0,0,1,1,3
567,568,0,3,1,0,4,0,0,1,3,4
568,569,0,3,0,0,0,0,1,1,1,4
569,570,1,3,0,0,0,0,0,1,1,4
570,571,1,2,0,0,0,0,0,1,1,4
571,572,1,1,1,2,0,1,0,2,3,4
572,573,1,1,0,0,0,4,0,1,1,4
573,574,1,3,1,0,0,0,2,1,2,3
574,575,0,3,0,0,0,0,0,1,1,3
575,576,0,3,0,0,0,0,0,1,1,3
576,577,1,2,1,0,0,0,0,1,2,4
577,578,1,1,1,1,0,4,0,2,3,4
